timestamp,volume,vwap,open,close,high,low,transactions,symbol
2023-12-01 09:00:00,13601.0,190.1154,189.98,190.08,190.28,189.97,190,AAPL
2023-12-01 10:00:00,8712.0,189.9862,190.08,189.87,190.1,189.87,176,AAPL
2023-12-01 11:00:00,3765.0,189.9565,189.85,189.95,190.06,189.85,93,AAPL
2023-12-01 12:00:00,52767.0,189.7732,189.95,189.61,189.97,189.55,713,AAPL
2023-12-01 13:00:00,91876.0,189.7255,189.75,189.54,190.15,189.51,2530,AAPL
2023-12-01 14:00:00,4797590.0,189.8938,189.54,189.96,190.49,189.23,54327,AAPL
2023-12-01 15:00:00,6037857.0,190.2272,189.97,190.34,190.5,189.913,184497,AAPL
2023-12-01 16:00:00,6581219.0,190.7717,190.35,191.04,191.25,190.18,73205,AAPL
2023-12-01 17:00:00,3739484.0,191.3003,191.045,191.4982,191.54,190.9601,44978,AAPL
2023-12-01 18:00:00,3342601.0,191.1457,191.5,191.17,191.56,190.8201,39523,AAPL
2023-12-01 19:00:00,3093770.0,191.1301,191.18,191.28,191.34,190.91,39279,AAPL
2023-12-01 20:00:00,7760007.0,191.123,191.265,191.26,191.38,189.8854,70356,AAPL
2023-12-01 21:00:00,4021046.0,191.2385,191.27,191.15,191.34,191.06,2092,AAPL
2023-12-01 22:00:00,758724.0,191.2389,191.14,191.32,191.32,191.06,521,AAPL
2023-12-01 23:00:00,62171.0,191.1708,191.29,191.25,191.32,191.15,250,AAPL
2023-12-02 00:00:00,10300.0,191.2924,191.28,191.33,191.33,191.27,209,AAPL
2023-12-04 09:00:00,27080.0,190.3703,190.7,190.31,190.82,190.19,456,AAPL
2023-12-04 10:00:00,15806.0,190.2667,190.3,190.18,190.36,190.16,226,AAPL
2023-12-04 11:00:00,20150.0,190.1091,190.2,190.0,190.33,190.0,366,AAPL
2023-12-04 12:00:00,59864.0,190.0496,190.09,190.22,190.25,189.78,1104,AAPL
2023-12-04 13:00:00,149689.0,190.0637,190.11,189.9051,191.24,189.76,3536,AAPL
2023-12-04 14:00:00,6501287.0,189.5144,189.86,189.3972,190.05,188.93,75445,AAPL
2023-12-04 15:00:00,7536712.0,188.4967,189.4,188.03,189.64,187.75,241724,AAPL
2023-12-04 16:00:00,4916602.0,187.9025,188.02,188.3601,188.42,187.4511,61493,AAPL
2023-12-04 17:00:00,3251884.0,188.4723,188.365,188.67,188.77,188.19,40337,AAPL
2023-12-04 18:00:00,2690416.0,188.6536,188.67,188.665,188.81,188.49,36535,AAPL
2023-12-04 19:00:00,3078689.0,188.8526,188.665,189.0117,189.13,188.495,39040,AAPL
2023-12-04 20:00:00,7523060.0,189.2351,189.01,189.45,189.66,188.72,82127,AAPL
2023-12-04 21:00:00,748066.0,189.4093,189.43,189.18,189.43,189.07,1308,AAPL
2023-12-04 22:00:00,134524.0,189.4088,189.17,189.25,189.43,189.16,409,AAPL
2023-12-04 23:00:00,9414.0,185.5716,189.2,189.05,189.2,189.05,205,AAPL
2023-12-05 00:00:00,14875.0,189.109,189.09,189.21,189.29,189.03,403,AAPL
2023-12-05 09:00:00,31917.0,188.8863,188.7,188.72,189.38,188.6,623,AAPL
2023-12-05 10:00:00,83886.0,188.4356,188.6,188.67,188.77,188.0,1143,AAPL
2023-12-05 11:00:00,46234.0,188.7141,188.76,188.57,188.86,188.56,712,AAPL
2023-12-05 12:00:00,176371.0,189.5356,188.64,190.26,190.5,188.61,3021,AAPL
2023-12-05 13:00:00,224059.0,190.0886,188.605,190.05,190.49,188.15,5131,AAPL
2023-12-05 14:00:00,13315815.0,192.3001,190.06,192.69,193.35,189.84,133767,AAPL
2023-12-05 15:00:00,12978943.0,193.7655,192.66,194.26,194.36,192.61,240119,AAPL
2023-12-05 16:00:00,6880740.0,193.5609,194.265,193.2141,194.4,192.62,73632,AAPL
2023-12-05 17:00:00,4982482.0,193.4393,193.22,193.62,193.83,192.95,55225,AAPL
2023-12-05 18:00:00,5181192.0,193.1521,193.63,192.91,193.66,192.85,45585,AAPL
2023-12-05 19:00:00,4131158.0,193.0387,192.91,193.22,193.31,192.75,44923,AAPL
2023-12-05 20:00:00,9024749.0,193.2092,193.2201,193.5,193.54,192.87,90180,AAPL
2023-12-05 21:00:00,1145635.0,193.42,193.42,193.4,193.5,193.31,1753,AAPL
2023-12-05 22:00:00,916948.0,193.4139,193.41,193.23,193.41,193.2,748,AAPL
2023-12-05 23:00:00,207371.0,193.132,193.22,193.33,193.42,192.895,934,AAPL
2023-12-06 00:00:00,61267.0,193.6441,193.33,193.79,193.9,193.33,1272,AAPL
2023-12-06 09:00:00,40818.0,193.6925,193.78,193.55,193.93,193.54,680,AAPL
2023-12-06 10:00:00,6722.0,193.6703,193.55,193.66,193.78,193.55,156,AAPL
2023-12-06 11:00:00,20398.0,193.4707,193.64,193.45,193.69,193.3,512,AAPL
2023-12-06 12:00:00,49673.0,193.3948,193.45,193.53,193.55,193.25,992,AAPL
2023-12-06 13:00:00,256120.0,193.7905,193.5,194.04,194.05,193.25,5312,AAPL
2023-12-06 14:00:00,6500297.0,193.677,194.04,193.15,194.76,192.96,70235,AAPL
2023-12-06 15:00:00,6548362.0,192.6915,193.14,192.6529,193.165,192.205,180993,AAPL
2023-12-06 16:00:00,4209641.0,192.9037,192.67,193.04,193.34,192.47,47431,AAPL
2023-12-06 17:00:00,3170033.0,192.8387,193.03,192.7,193.0979,192.65,32189,AAPL
2023-12-06 18:00:00,2834615.0,192.8481,192.69,193.1494,193.235,192.37,33781,AAPL
2023-12-06 19:00:00,2572402.0,192.9864,193.1501,192.91,193.21,192.75,34482,AAPL
2023-12-06 20:00:00,7060546.0,192.4134,192.9135,192.33,192.94,192.11,78910,AAPL
2023-12-06 21:00:00,416689.0,192.3191,192.37,192.26,192.45,192.21,1951,AAPL
2023-12-06 22:00:00,59875.0,192.1038,192.3,192.23,192.38,192.22,590,AAPL
2023-12-06 23:00:00,11850.0,192.2642,192.23,192.22,192.31,192.2197,346,AAPL
2023-12-07 00:00:00,17667.0,192.1843,192.22,192.2,192.26,192.11,306,AAPL
2023-12-07 09:00:00,19345.0,192.1545,192.22,192.32,192.38,191.81,440,AAPL
2023-12-07 10:00:00,14757.0,192.3193,192.39,192.4,192.4,192.12,330,AAPL
2023-12-07 11:00:00,5335.0,192.3088,192.27,192.29,192.36,192.22,97,AAPL
2023-12-07 12:00:00,13707.0,192.3462,192.3,192.35,192.43,192.25,263,AAPL
2023-12-07 13:00:00,135138.0,192.7059,192.26,192.94,193.17,191.88,3469,AAPL
2023-12-07 14:00:00,8204551.0,194.2508,193.0,193.89,194.92,192.93,74266,AAPL
2023-12-07 15:00:00,6422747.0,194.6247,193.89,194.7937,194.98,193.88,177593,AAPL
2023-12-07 16:00:00,4386176.0,194.5641,194.8,194.87,194.9,194.02,52893,AAPL
2023-12-07 17:00:00,4137541.0,194.8365,194.87,194.515,195.0,194.51,43906,AAPL
2023-12-07 18:00:00,4638835.0,194.4884,194.52,194.32,194.78,194.23,35414,AAPL
2023-12-07 19:00:00,2684496.0,194.3178,194.32,194.15,194.4911,194.13,34829,AAPL
